IE_XML_ID;IE_NAME;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_ACTIVE;IP_PROP44;IP_PROP45;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP52;IP_PROP53;IP_PROP6;IP_PROP4;CV_PRICE_1;IP_PROP81;CP_QUANTITY;IP_PROP114;IP_PROP130;IP_PROP131;CP_WEIGHT;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_ORIG_NAME;RECOMMEND;IE_CODE;IC_CODE0;IC_CODE1;IC_CODE2;IE_DETAIL_PICTURE;IE_PREVIEW_PICTURE;CV_CURRENCY_1;IP_PROP7;
20686;Избранные проповеди (e-book);Книга знакомит читателя с точкой зрения Джона Уэсли (1703-1791), английского протестантского проповедника и основоположника методизма, на важнейшие доктрины христианства. Единство верующих, фанатизм, христианские стандарты в одежде и поведении - эти и другие размышления о христианском совершенстве легли в основу ревивализма - учения о практической реформации жизни человека, направленого на поднятие духовного и морального уровня церкви. Также представлены дебаты Уэсли с людьми, придерживающихся различных мнений, в том числе с римскими католиками и кальвинистами.;text;Y;Джон Уэсли;Книгоноша;2016;электронная книга;978-617-7248-38-4;;0;;0;0;30.00;0.00;99;0;2284;0;0;eBooks;Публицистика;Проповеди;;49315;izbrannie-propovedi-e-book-;ebooks;publitsistika-;propovedi-;20686.jpg;20686.jpg;UAH;20686;
20620;Избранные проповеди;Книга знакомит читателя с точкой зрения Джона Уэсли (1703-1791), английского протестантского проповедника и основоположника методизма, на важнейшие доктрины христианства. Единство верующих, фанатизм, христианские стандарты в одежде и поведении - эти и другие размышления о христианском совершенстве легли в основу ревивализма - учения о практической реформации жизни человека, направленого на поднятие духовного и морального уровня церкви. Также представлены дебаты Уэсли с людьми, придерживающихся различных мнений, в том числе с римскими католиками и кальвинистами.;text;Y;Джон Уэсли;Книгоноша;2016;60х90/16 (140х215 мм);978-617-7248-38-4;Мягкий;296;;0;1;85.00;0.00;26;0;2284;3;290;Книги;Публицистика;Проповеди;;49439;izbrannie-propovedi-;knigi;publitsistika;propovedi;20620.jpg;20620.jpg;UAH;20620;
19790;Бог. Какой Он?;"Майкл Отс несет служение благовестника в университетах Великобритании. Книга посвящена вопросам, которые чаще всего задают студенты и касаются они характера Бога. 

Разве можно называть Его добрым, если Он разрешает войны, допускает страдания, подавляет сексуальность, наказывает собственного Сына, разделяет людей по религиозным признакам, приговаривает их на муки в аду? Какой Бог позволит, чтобы на земле Его представляли лицемерные церкви и движения фундаменталистов? Почему Он позволяет наносить вред окружающей среде?

Ответы на 10 самых распространенных критических вопросов вы найдете в этой книге.
";text;Y;Майкл Отс;Книгоноша;2015;60х90/16 (140х215 мм);978-617-7248-05-6;Мягкий;134;;0;0;55.00;0.00;22;0;3973;10;150;Книги;Публицистика;Духовно-назидательная литература;;39191;bog-kakoy-on-;knigi;publitsistika;duhovno-nazidatelnaya-literatura;19790.jpg;19790.jpg;UAH;19790;
16086;Жизнь в молитве;"Несмотря на трудности своего жизненного пути, Тереза Авильская по милости Божьей до конца осталась Его другом, а Он — ее Возлюбленным

Фламандский монах и мистик Фома Кемпийский писал: «Много у Иисуса любителей Царства Его Небесного, но мало носителей креста Его. …Все хотят со Христом радоваться, но не многие хотят что-либо претерпеть за Него. Многие последуют за Иисусом даже до преломления хлеба, и лишь некоторые разделят с Ним чашу страдания. …Многие любят Иисуса, пока не встретят бедствий». Хотя эти слова были написаны в XV веке, они до сих пор не утратили своей актуальности. «Общество потребителей», главной целью которого является накопление материальных благ, в котором живем мы, христиане, поставило свой отпечаток на современной церкви. Мы желаем получать, а не отдавать, желаем всячески избежать дискомфорта и страданий. Выбирая между служением Господу и служением богатству, многие останавливаются на последнем. В результате, наша молитвенная жизнь оказывается чрезвычайно бедной. Поэтому, на мой взгляд, христианам нужно ободрение и хороший пример жизни, посвященной Богу. Одним из таких примеров может быть жизнь Терезы Авильской.

 * Каждый, кто будет читать этот русский перевод антологии произведений Терезы Авильской, сможет учиться у нее главному: любви, смирению, подчинению всего себя Богу, активной молитвенной жизни и внутреннему взору души, в центре которого всегда стоит наш Господь и Спаситель — Иисус Христос.

 «Меня вводит в явное смущение вера в такие свидетельства и события, какие происходили с Терезой, хотя я и понимаю, что это может быть связано с недостатком моей веры в слова моего Господина. Я бы охотнее поверил каждому слову поразительных видений и голосов, которые были у Терезы, нежели остался с мнением, что со времен, когда Павел, а также Иоанн “ушли домой”, величайшие обетования нашего Господа были для многих лишь пустым звуком. Каждый может насмехаться над этим, но я не желаю больше находиться с ними в собрании злоречивых».

 Александр Уайт (1836-1921) протестантский богослов";text;Y;Святая Тереза Авильская;Книгоноша;2011;60х90/16 (140х215 мм);978-966-7698-50-8;Мягкий;260;;0;0;75.00;0.00;20;0;5717;133;260;Книги;Публицистика;Молитва, пост;;37225;zhizn-v-molitve-;knigi;publitsistika;molitva-post;16086.jpg;16086.jpg;UAH;16086;
20220;Против попутного ветра;"Девятнадцатилетняя Рита, студентка медицинского института, встречает верующего парня, который приглашает ее, как будущего медика, в летний лагерь для инвалидов, организованный местными христианами. Девушке открывается совершенно новый мир, новые отношения между людьми. 
По зову сердца Рита потянулась к Богу. Но став христианкой, она начинает испытывать на себе всепоглощающую ненависть своего отца… 
В сборник вошли повести: «По другую сторону греха», «Белый лотос», «Против попутного ветра».

«…Господь позволил мне пережить вместе с героями этой книги их горе, радость, отчаяние, боль, страх и смелость на пути к познанию Истины. Все, что происходило в их жизни, пропущено и через мое сердце».
С любовью, Тамара Резникова";text;Y;Тамара Резникова;Книгоноша;2016;84х108/32 (125х190 мм);978-617-7248-17-9;Твердый;320;;0;1;155.00;0.00;21;0;6169;137;510;Книги;Художественная литература;Повести;;39462;protiv-poputnogo-vetra-;knigi;hudozhestvennaya-literatura;povesti;20220.jpg;20220.jpg;UAH;20220;
18307;Руководство для лидеров поклонения;"В этой книге, написанной Дэн Уилт – лидером поклонения церкви «Виноградник» Сент-Круа в Сент-Стивене (Нью-Брансуик, Канада), – изложена философия ведения поклонения: каких ценностей необходимо придерживаться в прославлении, как создать эффективную команду музыкантов, установить доверительно-назидательные отношения с пастором, как сформировать новых лидеров прославления.

«Руководство для лидеров поклонения» является прекрасным пособием для духовного и профессионального роста как для зрелых лидеров поклонения, так и для тех, кто только пробует себя в этом служении.

";text;Y;Дэн Уилт;Книгоноша;2013;60х88/16 (140х215 мм);978-966-2615-50-0;Мягкий;72;;0;0;18.00;22.00;16;0;2581;24;80;Книги;Служения Церкви;Труд пастора;;38328;rukovodstvo-dlya-liderov-pokloneniya-;knigi;sluzheniya-tserkvi;trud-pastora;18307.jpg;18307.jpg;UAH;18307;
19643;Церковь на Майдане;"Если бы не сдерживающая роль церкви на Майдане, была бы Небесная Тысяча, а не Небесная Сотня...

Тот, кто неравнодушен к теме переплетения судеб Майдана и евангельского христианства, вряд ли сможет пройти мимо этого издания. Книга ""Церковь на Майдане"" - это исторический срез жизни протестантских церквей, которые оказались в первых рядах служения нуждающимся во время Революции достоинства 2013-2014 гг. 

Книга представляет собой серию интервью с 28 представителями евангельских церквей, непосредственными участниками киевского Майдана. Их рассказы сопровождаются хронологическим повествованием событий в период с 21 ноября по 23 февраля, что дает понимание политического контекста, ставшего фоном для служения верующих.
";text;Y;Алексей Гордеев;Книгоноша;2015;70х100/16 (165х240 мм);978-966-2615-99-9;Твердый;304;Национальные евангельские авторы;0;0;160.00;0.00;13;0;621;152;610;Книги;Публицистика;Христианство и общество;;22277;tserkov-na-maydane-;knigi;publitsistika;hristianstvo-i-obshchestvo;19643.jpg;19643.jpg;UAH;19643;
20242;День пути. 365-дневное размышление над Словом;"Куда бы ни повела лежащая перед вами тропа - ""около стана"" или в уединенную пустыню, проповедовать непокорному городу Ниневии или в святой город Иерусалим, с целью увидеть Иисуса и принять от Него силу свыше, мы молимся, чтобы эти размышления над Словом были для вас поддержкой"" светом на день пути, предстоящего вам.
Книга содержит 365 небольших проповедей по Новому Завету и рассчитана на прочтение за один год.
";text;Y;Джон Корсон;Книгоноша;2016;60х90/16 (140х215 мм);978-617-7248-24-7;Мягкий;454;;0;1;110.00;0.00;13;0;9066;32;420;Книги;Художественная литература;Чтение на каждый день;;49437;den-puti-365-dnevnoe-razmishlenie-nad-slovom-;knigi;hudozhestvennaya-literatura;chtenie-na-kazhdiy-den;20242.jpg;20242.jpg;UAH;20242;
19960;Прыгнуть выше себя;"Книга Виктора Коструба ""Прыгнуть выше себя"" является первой в серии ""Эффективное лидерство"" и является частью масштабных проектов автора, направленных на воспитание нового поколения бизнесменов и лидеров.
Как преодолеть страх, начиная свое дело? Как грамотно построить бизнес и вывести его на новый уровень? На эти и другие вопросы автор отвечает с точки зрения библейских принципов управления, эффективность которых доказана многолетней практикой.";text;Y;Виктор Коструб;Книгоноша;2015;60х88/16 (140х210 мм);978-617-7248-10-0;Мягкий;256;Эффективное лидерство;0;1;106.00;0.00;28;0;1261;26;240;Книги;Лидерство;Менеджмент;;39122;prignut-vishe-sebya-;knigi;liderstvo;menedzhment;19960.jpg;19960.jpg;UAH;19960;
15755;Святой Дух;"Книга о Духе Святом, Его участии в деле возрождения и освящения. Автор описывает внутренние процессы, происходящие в душе человека, и показывает тщетность человеческих попыток обрести святость без участия третьей Личности Бога - Святого Духа. 
 Для широкого круга читателей.";text;Y;Джон Оуэн;Христианское просвещение;2009;60х80/16 (140х200 мм);5-8404-0221-4;Твердый;248;;0;0;99.00;0.00;2;0;2256;22;360;Книги;Публицистика;Духовно-назидательная литература;;42594;svyatoy-duh-;knigi;publitsistika;duhovno-nazidatelnaya-literatura;15755.jpg;15755.jpg;UAH;15755;
